provincia,cantidad,vacuna
Buenos Aires,9317786,1 dosis
CABA,2023502,1 dosis
Catamarca,225611,1 dosis
Chaco,544483,1 dosis
Chubut,310306,1 dosis
Corrientes,561426,1 dosis
Córdoba,2048602,1 dosis
Entre Ríos,685539,1 dosis
Formosa,335616,1 dosis
Jujuy,391796,1 dosis
La Pampa,210837,1 dosis
La Rioja,218416,1 dosis
Mendoza,1036321,1 dosis
Misiones,470939,1 dosis
Neuquén,381713,1 dosis
Río Negro,423353,1 dosis
Salta,655988,1 dosis
San Juan,419976,1 dosis
San Luis,301038,1 dosis
Santa Cruz,184917,1 dosis
Santa Fe,1992923,1 dosis
Santiago del Estero,550720,1 dosis
Tierra del Fuego,100762,1 dosis
Tucumán,875638,1 dosis
Buenos Aires,2277509,2 dosis
CABA,657713,2 dosis
Catamarca,53315,2 dosis
Chaco,146503,2 dosis
Chubut,84230,2 dosis
Corrientes,159294,2 dosis
Córdoba,550287,2 dosis
Entre Ríos,182159,2 dosis
Formosa,67329,2 dosis
Jujuy,108786,2 dosis
La Pampa,75822,2 dosis
La Rioja,59965,2 dosis
Mendoza,241035,2 dosis
Misiones,149334,2 dosis
Neuquén,115605,2 dosis
Río Negro,116961,2 dosis
Salta,159992,2 dosis
San Juan,105848,2 dosis
San Luis,99268,2 dosis
Santa Cruz,54097,2 dosis
Santa Fe,482815,2 dosis
Santiago del Estero,118663,2 dosis
Tierra del Fuego,26259,2 dosis
Tucumán,253460,2 dosis
