condicion,fecha,cantidad
muertes,2020-01-31,0
muertes,2020-02-29,1
muertes,2020-03-31,33
muertes,2020-04-30,264
muertes,2020-05-31,443
muertes,2020-06-30,1434
muertes,2020-07-31,4608
muertes,2020-08-31,7384
muertes,2020-09-30,10409
muertes,2020-10-31,11291
muertes,2020-11-30,7392
muertes,2020-12-31,4266
muertes,2021-01-31,5410
muertes,2021-02-28,3882
muertes,2021-03-31,4021
muertes,2021-04-30,9911
muertes,2021-05-31,16044
muertes,2021-06-30,15189
muertes,2021-07-31,6651
vacunados,2020-01-31,0
vacunados,2020-02-29,0
vacunados,2020-03-31,0
vacunados,2020-04-30,0
vacunados,2020-05-31,0
vacunados,2020-06-30,0
vacunados,2020-07-31,0
vacunados,2020-08-31,0
vacunados,2020-09-30,0
vacunados,2020-10-31,0
vacunados,2020-11-30,0
vacunados,2020-12-31,43222
vacunados,2021-01-31,343855
vacunados,2021-02-28,875033
vacunados,2021-03-31,2971426
vacunados,2021-04-30,4019202
vacunados,2021-05-31,4599434
vacunados,2021-06-30,8637324
vacunados,2021-07-31,9124961
