fecha,AstraZeneca,COVISHIELD,Sinopharm,Sputnik
2020-01-31,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0,0.0
2020-04-30,0.0,0.0,0.0,0.0
2020-05-31,0.0,0.0,0.0,0.0
2020-06-30,0.0,0.0,0.0,0.0
2020-07-31,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0
2020-09-30,0.0,0.0,0.0,0.0
2020-10-31,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0
2020-12-31,0.0,1.0,0.0,43300.0
2021-01-31,8.0,65.0,20.0,344934.0
2021-02-28,29.0,261890.0,115.0,615693.0
2021-03-31,15353.0,321806.0,817300.0,1822717.0
2021-04-30,957218.0,39883.0,1167523.0,1858250.0
2021-05-31,651504.0,28084.0,1607504.0,2318060.0
2021-06-30,5582798.0,0.0,985837.0,2077101.0
2021-07-31,2710893.0,0.0,3808253.0,2194130.0
